PartnerCode,Product_id,ProductType,MainRedCode,FreeRedCode
Cool,63,School,S15SCHOOLMAIN,S15SCHOOLF1D
Cool,64,Home,S15HOMEPL20MAIN,S15HOMEPL20F1D
Mini,65,School,S15SCHOOLMAIN,S15SCHOOLF1D
Mini,66,Home,S15HOMEPL20MAIN,S15HOMEPL20F1D
Cool,67,Home,S15HOMEGLMAIN,S15HOMEGLF1D
Mini,68,Home,S15HOMEGLMAIN,S15HOMEGLF1D
Cool,69,Home,S15HOME7GLMAIN,S15HOME7GLF1D
Mini,70,Home,S15HOME7GLMAIN,S15HOME7GLF1D
Cool,71,Home,S15HOME7GLPLMAIN,S15HOME7GLPLF1D
Mini,72,Home,S15HOME7GLPLMAIN,S15HOME7GLPLF1D
Rupe,77,School,R15SCHOOLMAIN,R15SCHOOLF1D
Rupe,78,Home,R15HOMEMAIN,R15HOMEF1D
Indo,86,School,I15SEMAIN,I15SEF1D
Indo,87,School,I15PEMAIN,I15PEF1D
Rupe,102,Home,R15EXAMPREMAIN,R15EXAMPREF1D
Cool,111,School,S15CSMAIN,S15CSF1D
Mini,112,School,S15CSMAIN,S15CSF1D
Cool,118,Home,S15HOME7GLMAIN,S15HOME7GLF1D
Cool,119,Home,S15HOME71GLMAIN,S15HOME71GLF1D
Mini,120,Home,S15HOME71GLMAIN,S15HOME71GLF1D
Cool,122,School,S15ALUMNITPMAIN,S15ALUMNITPF1D
Cool,123,School,S15ALUMNITPMAIN,S15ALUMNITPF1D
Cool,125,Home,S15HOME5MAIN,S15HOME5F1D
Mini,126,Home,S15HOME5MAIN,S15HOME5F1D
Cehk,127,School,HK15SCHOOLMAIN,HK15SCHOOLF1D
Cehk,128,Home,HK15HOMEPL20MAIN,HK15HOMEPL20F1D
Cehk,129,Home,HK15HOMEGLMAIN,HK15HOMEGLF1D
Cehk,130,Home,HK15HOMEOSMAIN,HK15HOMEOSF1D
Rupe,133,Home,R15HOMEPL20MAIN,R15HOMEPL20F1D
Rupe,134,School,R15SCHOOLPL20MAIN,R15SCHOOLPL20F1D
ecSP,135,School,SPS15SCHOOLMAIN,SPS15SCHOOLF1D
ecSP,136,Home,SPS15HOMEMAIN,SPS15HOMEF1D
ecSP,139,Home,SPS15HOME90PL40MAIN,SPS15HOME90PL40F1D
Cool,9,School,SMART3MONTHSCHOOL,SMART1DAYFREESCHOOL
Mini,37,School,MINIPRIVATELC18775,privatefree1day18901
Cehk,97,School,HKINTPXLCMAIN,HKINTPXLCMAIN1D
Rupe,39,School,Rissiamain3Mschool,Russiafree1dayschool
Indo,50,School,INDOSMARTMAIN,INDOSMARTFREE
